defect,ΔE_mean
d0,3.9532294810778392
d3,2.6334343007141565
d4,6.32151221860058
d7,4.335347007631952
d10,2.935485816549805
d12,4.166873560614161
d13,3.448621888716348
d18,3.1779209547200713
d19,3.6741139786330406
d20,3.127472723921215
d21,3.1326953809993836
d22,3.486940895606566
