defect_id,DE_mean,radius,CTQ1,CTQ2,Defect?
d1,2.8586820070451306,56.1472282409668,True,False,True
d2,4.467037479905731,56.51558303833008,True,False,True
d3,7.817676458862722,55.47915267944336,True,False,True
d4,2.718375922934665,55.73166275024414,False,False,False
d5,6.554199993997197,55.818336486816406,True,False,True
d6,4.502364129057257,55.64405822753906,True,False,True
d7,4.175618589648769,56.078155517578125,True,False,True
d8,4.092232270145483,70.78321838378906,True,True,True
d9,2.9615201772478743,51.840694427490234,True,True,True
d10,3.954703298708972,49.38909912109375,True,True,True
d11,3.5394233690408456,55.84718704223633,True,False,True
d12,3.6748485691456554,55.701595306396484,True,False,True
d13,7.515472826287929,55.64772033691406,True,False,True
d14,2.7444469282207637,70.11428833007812,False,True,True
