defect_id,DE_mean,radius,CTQ1,CTQ2,Defect?
d1,4.268201603703687,55.330543518066406,True,False,True
d2,5.700859273150798,57.061424255371094,True,False,True
d3,10.903396392094214,55.900142669677734,True,False,True
d4,3.088834663584795,56.202392578125,False,False,False
d5,8.952003916554087,56.06053161621094,True,False,True
d6,5.667816014190337,56.03645324707031,True,False,True
d7,5.938350682635254,56.71544647216797,True,False,True
d8,4.807428023722796,56.592994689941406,True,False,True
d9,3.8438419941578292,52.35478591918945,False,True,True
d10,5.783826932564558,52.021728515625,True,True,True
d11,4.894015754236211,57.17304229736328,True,False,True
d12,4.980801967708858,55.63926696777344,True,False,True
d13,10.955604960771234,55.568424224853516,True,False,True
d14,3.708490204225803,70.40074157714844,False,True,True
