defect_id,DE_mean,radius,CTQ1,CTQ2,Defect?
d0,0.962147094886363,49.52029800415039,False,False,False
d3,5.7720926337496365,49.62368392944336,True,False,True
d4,1.1079089912282278,49.42386245727539,False,False,False
d7,2.397278639560111,49.268001556396484,False,False,False
d10,4.914529027643934,49.039493560791016,True,False,True
d12,2.8259280278399808,50.30120086669922,True,False,True
d13,1.4806321840705352,46.075077056884766,False,True,True
d18,1.6954384779093405,55.24054718017578,False,True,True
d19,1.6899752476802623,49.35249328613281,False,False,False
d20,1.2857836062464472,49.256492614746094,False,False,False
d21,1.8414199341197226,61.844696044921875,False,True,True
d22,2.849075044813344,45.69131851196289,True,True,True
